title,id,author,editor,advisor,note,,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
Metadata for a Micro-services-based Digital Curation System,2770903,Kevin  Clair,,,,,58--62,,5,digital curation; digital preservation; electronic records management; metadata,,,,,,,,2011,,Proceedings of the 2011 International Conference on Dublin Core and Metadata Applications,DCMI'11,,,The Hague; Netherlands,Dublin Core Metadata Initiative,
The Optimal Macro Control Strategies of Service Providers and Micro Service Selection of Users: Quantification Model Based on Synergetics,3268570,Xiaorong  Zhu and Xiaodi  Gong and Danny H. Tsang,,,,,1991--2004,,14,Heterogeneous networks; Pricing; Service selection; Spectrum sharing; Synergetics,10.1007/s11276-016-1436-3,Wirel. Netw.,18-Aug,24,6,,August,2018,1022-0038,,,,,,Springer-Verlag,Berlin; Heidelberg
Supporting Micro-services Deployment in a Safer Way: A Static Analysis and Automated Rewriting Approach,3167314,Benjamin  Benni and S&#233;bastien  Mosser and Philippe  Collet and Michel  Riveill,,,,,1706--1715,,10,container; docker; microservice; static analysis,10.1145/3167132.3167314,,,,,,,2018,,Proceedings of the 33rd Annual ACM Symposium on Applied Computing,SAC '18,,978-1-4503-5191-1,Pau; France,ACM,New York; NY; USA
Research on Digital Publishing Application System Based on Micro-Service Architecture,3171613,Wang  Bin and Yang  Shulin and Ren  Xuelei and Wang  Guyang,,,,,140--144,,5,Micro-service; architecture; digital publishing; docker,10.1145/3171592.3171613,,,,,,,2017,,Proceedings of the 2017 VI International Conference on Network; Communication and Computing,ICNCC 2017,,978-1-4503-5366-3,Kunming; China,ACM,New York; NY; USA
Domain Driven Design and Provision of Micro-services to Build Emerging Learning Systems,3012643,Maha  Khemaja,,,,,1035--1042,,8,OSGi middleware; dynamic services provisioning; learning features; micro-services; provisioning services; semantic web; semantic web services,10.1145/3012430.3012643,,,,,,,2016,,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '16,,978-1-4503-4747-1,Salamanca; Spain,ACM,New York; NY; USA
Identity and Access Control for Micro-services Based 5G NFV Platforms,3233255,Daniel  Guija and Muhammad Shuaib Siddiqui,,,,,46:1--46:10,46,10,5G; Authentication; Authorization; DevOps; JSON Web Token; Keycloak; NFV MANO; identity; micro-services; network services; virtual network functions,10.1145/3230833.3233255,,,,,,,2018,,Proceedings of the 13th International Conference on Availability; Reliability and Security,ARES 2018,,978-1-4503-6448-5,Hamburg; Germany,ACM,New York; NY; USA
Contain-ed: An NFV Micro-Service System for Containing e2e Latency,3094408,Amit  Sheoran and Puneet  Sharma and Sonia  Fahmy and Vinay  Saxena,,,,,12--17,,6,Containers; Network Functions Virtualization,10.1145/3094405.3094408,,,,,,,2017,,Proceedings of the Workshop on Hot Topics in Container Networking and Networked Systems,HotConNet '17,,978-1-4503-5058-7,Los Angeles; CA; USA,ACM,New York; NY; USA
Contain-ed: An NFV Micro-Service System for Containing e2e Latency,3155064,Amit  Sheoran and Puneet  Sharma and Sonia  Fahmy and Vinay  Saxena,,,,,54--60,,7,Data center networks; Mobile networks; Network protocol design,10.1145/3155055.3155064,SIGCOMM Comput. Commun. Rev.,17-Oct,47,5,,October,2017,0146-4833,,,,,,ACM,New York; NY; USA
,3265345,Ajay  Kumar,,,,,,,,,,,,,,,,2018,,Microservices Architecture,,,1981049304; 9781981049301,,Independently published,
,2904388,Sam  Newman,,,,,,,,,,,,,,,,2015,,Building Microservices,,1st,1491950358; 9781491950357,,O'Reilly Media; Inc.,
,3153470,Carlos Perez Sanchez and Pablo Solar Vilarino,,,,,,,,,,,,,,,,2017,,PHP Microservices,,,1787125378; 9781787125377,,Packt Publishing,
,3006367,Rajesh  RV,,,,,,,,,,,,,,,,2016,,Spring Microservices,,,1786466686; 9781786466686,,Packt Publishing,
,3165165,Nic  Jackson,,,,,,,,,,,,,,,,2017,,Building Microservices with Go,,,1786468662; 9781786468666,,Packt Publishing,
,3235995,Parminder Singh Kocher,,,,,,,,,,,,,,,,2018,,Microservices and Containers,,1st,0134598385; 9780134598383,,Addison-Wesley Professional,
,2987980,Kevin  Watts,,,,,,,,,,,,,,,,2015,,Microservices Architecture: Deep Exploration Of Microservices,,,1519773803; 9781519773807,,CreateSpace Independent Publishing Platform,USA
