Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
Microservice Ambients: An Architectural Meta-Modelling Approach for Microservice Granularity,S. Hassan; N. Ali; R. Bahsoon,NA; NA; NA,2017 IEEE International Conference on Software Architecture (ICSA),,2017,,,1,10,,,,10.1109/ICSA.2017.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930193,microservices;meta-modelling;granularity;ambients,Adaptation models;Runtime;Context;Motion pictures;Analytical models;Quality of service,aspect-oriented programming;software architecture,architectural meta-modelling;fine-grained business functionalities;microservitization design decisions;quality of service;QoS;microservice application;aspect-oriented architectural metamodelling;ambients-AMBIENT-PRISMA;hypothetical online movie subscription;microservitization scenario;aspect-oriented modelling;Architecture Description Language;ADL classification;decentralised governance;microservice ambients support analysis;quality-driven microservice granularity adaptation,,,,,,,,,IEEE,IEEE Conferences,
Database-per-service for e-learning system with micro-service architecture,S. S. Kumar; P. M. M. Shastry,Dept. of CSE; Vivekananda Institute of Technology (VTU); Bengaluru; India; Dept. of CSE; Reva Institute of Technology & Management (VTU); Bengaluru; India,2017 International Conference On Smart Technologies For Smart Nation (SmartTechCon),,2017,,,705,708,,,,10.1109/SmartTechCon.2017.8358462,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8358462,Ε-Learning;Micro-Service;Database-per-Service,Conferences,cloud computing;computer aided instruction;computer science education;service-oriented architecture,smart education;microservice based architecture;monolithic architecture based applications;specific user access;performance oriented cloud based service model;e-learning platform;database-per-service plugin;microtopics,,,,,,,,,IEEE,IEEE Conferences,
ThingNet: A micro-service based IoT macro-programming platform over edges and cloud,Y. Qiao; R. Nolani; S. Gill; G. Fang; B. Lee,Software Research Institute; Athlone Institute of Technology; Ireland; Software Research Institute; Athlone Institute of Technology; Ireland; Software Research Institute; Athlone Institute of Technology; Ireland; Institute of Software; Chinese Academy of Sciences; China; Software Research Institute; Athlone Institute of Technology; Ireland,2018 21st Conference on Innovation in Clouds; Internet and Networks and Workshops (ICIN),,2018,,,1,4,,,,10.1109/ICIN.2018.8401626,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401626,IoT;Macro-programming;Micro-service;Fog Computing;Edge Computing,Programming;Cloud computing;Routing;Sensors;Smoothing methods;Computer architecture;Internet of Things,cloud computing;data flow computing;Internet of Things;public domain software;resource allocation,distributed data routing;IoT devices;central cloud;application providers;application level service function chaining;data flow programming;service functions;multiple data flows;open source platforms;ThingNet;microservice;IoT macro-programming platform;process data;storage;forwarding services;end devices;Raspberry Pi;Intel NUC;Openstack VM;resource utilisation,,,,,,,,,IEEE,IEEE Conferences,
Instance expansion algorithm for micro-service with prediction,M. Zhu; H. Qu; J. Zhao,School of Electronic and Information Engineering; Xi'an Jiaotong University; People's Republic of China; School of Electronic and Information Engineering; Xi'an Jiaotong University; People's Republic of China; School of Electronic and Information Engineering; Xi'an Jiaotong University; People's Republic of China,Electronics Letters,,2018,54,6,356,357,,,,10.1049/el.2017.4117,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320081,,,gradient methods;maximum entropy methods;service-oriented architecture;Web services,least mean square;A/B test;stochastic gradient descent algorithm;instance expansion algorithm;microservice;low latency service;instance expansion time;cost function;maximum correntropy criteria,,,,,,,,,IET,IET Journals & Magazines,
From Monolithic to Microservices: An Experience Report from the Banking Domain,A. Bucchiarone; N. Dragoni; S. Dustdar; S. T. Larsen; M. Mazzara,Fondazione Bruno Kessler; Technical University of Denmark and &#xD6;rebro University; TU Wien; Danske Bank; Innopolis University,IEEE Software,,2018,35,3,50,55,,,,10.1109/MS.2018.2141026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8354415,microservices;software architecture;scalability;software development;software engineering;Danske Bank;FX Core,Computer architecture;Service computing;Service-oriented architecture;Databases;Banking;Software development,bank data processing;software architecture,banking domain;microservices;concrete applications;real-life software;refactoring;back-end systems;scalability;monolithic architecture;FX Core system;mission-critical system;Danske Bank;Northern Europe,,,,,,,,,IEEE,IEEE Journals & Magazines,
Scalable microservice based architecture for enabling DMTF profiles,D. Malavalli; S. Sathappan,Client Manageability Group; AMD India Pvt; 102-103 EPIP; Whitefield; Bangalore; KA 560066 India; Client Manageability Group; AMD India Pvt; 102-103 EPIP; Whitefield; Bangalore; KA 560066 India,2015 11th International Conference on Network and Service Management (CNSM),,2015,,,428,432,,,,10.1109/CNSM.2015.7367395,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7367395,Webservices;Microservices;SOA;DMTF Profiles;DASH;REST;JSON;SOAP;XML;Enterprise;Architecture;Manageability,Decision support systems,middleware;software architecture,scalable microservice based architecture;DMTF profiles;middleware layer;software architecture,,,,,,,,,IEEE,IEEE Conferences,
High-assurance synthesis of security services from basic microservices,Sung Kim; F. B. Bastani; I-Ling Yen; Ing-Ray Chen,Dept. of Comput. Sci.; Texas Univ.; Richardson; TX; USA; Dept. of Comput. Sci.; Texas Univ.; Richardson; TX; USA; Dept. of Comput. Sci.; Texas Univ.; Richardson; TX; USA; NA,14th International Symposium on Software Reliability Engineering; 2003. ISSRE 2003.,,2003,,,154,165,,,,10.1109/ISSRE.2003.1251039,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1251039,,Computer hacking;Computer security;Data security;Information security;Explosives;Internet;Computer networks;Embedded software;Computer bugs;Software systems,security of data;object-oriented programming;formal verification;electronic mail;Internet;certification,security service synthesis;microservices;computer systems;computer threats;malicious attacks;computer hackers;Internet;computer network security;malicious code embedding;software bugs;information misusage;component security certification;system security;monolithic software system;e-mail application,,,,,,,,,IEEE,IEEE Conferences,
A Dashboard for Microservice Monitoring and Management,B. Mayer; R. Weinreich,NA; NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,66,69,,,,10.1109/ICSAW.2017.44,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958458,Microservices;microservice monitoring;microservice management;microservice dashboard,Conferences;Software architecture,data acquisition;data integration;service-oriented architecture;system monitoring,microservice monitoring;experimental dashboard;microservice management;monitoring infrastructures;microservice runtime data collection;information sources;microservice development,,,,,,,,,IEEE,IEEE Conferences,
The Economics of Microservices,A. Singleton,MAXOS.ai,IEEE Cloud Computing,,2016,3,5,16,20,,,,10.1109/MCC.2016.109,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742218,microservices architecture;cloud computing;cloud economics;legacy systems,Computer architecture;Cloud computing;Service computing;Economics;Legacy systems;Complexity theory,cloud computing;economics,economics;complex software systems;medium-sized systems;cost reduction;quality improvement;cloud systems;microservices architecture;machinery,,,,,,,,,IEEE,IEEE Journals & Magazines,
Towards Generating Elastic Microservices: A Declarative Specification for Consistent Elasticity Configurations,F. Klinaku; V. Ferme,NA; NA,2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,2018,,,510,513,,,,10.1109/SEAA.2018.00087,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498254,Declarative Specification; Elasticity; Autoscaling Rules; Continuous Delivery; Scaling Plans,Software engineering;Frequency modulation;Elasticity,,,,,,,,,,,IEEE,IEEE Conferences,
