Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Microservice-oriented master control for AGV in the automotive factory of the future","17. Internationales Stuttgarter Symposium","","","","10.1007/978-3-658-16988-6_63","Timur Tasci M.Sc.C. EllweinM. M. StrljicO. Riedel","2017","http://link.springer.com/chapter/10.1007/978-3-658-16988-6_63","Chapter"
"MORe: A Micro-service Oriented Aggregator","Metadata and Semantics Research","","","","10.1007/978-3-319-49157-8_2","Dimitris GavrilisVangelis NomikosKonstantinos KravvaritisStavros AngelisChristos PapatheodorouPanos Constantopoulos","2016","http://link.springer.com/chapter/10.1007/978-3-319-49157-8_2","Chapter"
"Digital repository: preservation environment and policy implementation","International Journal on Digital Libraries","","12","1","10.1007/s00799-012-0082-3","Bing ZhuRichard MarcianoReagan MooreLaurin HerrJurgen Schulze","2012","http://link.springer.com/article/10.1007/s00799-012-0082-3","Article"
"Towards a Methodology for Designing Micro-service Architectures Using μσADL","Business Modeling and Software Design","","","","10.1007/978-3-319-94214-8_33","Tasos PapapostoluDimitar Birov","2018","http://link.springer.com/chapter/10.1007/978-3-319-94214-8_33","Chapter"
"Native Cloud Applications: Why Monolithic Virtualization Is Not Their Foundation","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_2","Frank LeymannUwe BreitenbücherSebastian WagnerJohannes Wettinger","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_2","Chapter"
"A Microservice Approach for Near Real-Time Collaborative 3D Objects Annotation on the Web","Advances in Web-Based Learning -- ICWL 2015","","","","10.1007/978-3-319-25515-6_17","Petru NicolaescuGeorgios ToubekisRalf Klamma","2015","http://link.springer.com/chapter/10.1007/978-3-319-25515-6_17","Chapter"
"The Database-is-the-Service Pattern for Microservice Architectures","Information Technology in Bio- and Medical Informatics","","","","10.1007/978-3-319-43949-5_18","Antonio MessinaRiccardo RizzoPietro StornioloMario TripicianoAlfonso Urso","2016","http://link.springer.com/chapter/10.1007/978-3-319-43949-5_18","Chapter"
"Microservice Architecture Within In-House Infrastructures for Enterprise Integration and Measurement: An Experience Report","Innovations for Community Services","","","","10.1007/978-3-319-93408-2_1","Sebastian ApelFlorian HertrampfSteffen Späthe","2018","http://link.springer.com/chapter/10.1007/978-3-319-93408-2_1","Chapter"
"Cost comparison of running web applications in the cloud using monolithic, microservice, and AWS Lambda architectures","Service Oriented Computing and Applications","","11","2","10.1007/s11761-017-0208-y","Mario VillamizarOscar GarcésLina OchoaHarold CastroLorena SalamancaMauricio VeranoRubby CasallasSantiago GilCarlos ValenciaAngee ZambranoMery Lang","2017","http://link.springer.com/article/10.1007/s11761-017-0208-y","Article"
"Micro-Service-Companies — The American Perspective","Dienstleistungen — Innovation für Wachstum und Beschäftigung","","","","10.1007/978-3-322-86913-5_65","Gene Miller","1999","http://link.springer.com/chapter/10.1007/978-3-322-86913-5_65","Chapter"
